epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2199.31,0.63102,1.1352,1.14437,0.18636,1,0.45688,0.18055,1.14981,4.56588,2.05018,0.000223971,0.000223971,0.000223971
60,2233.89,0.66726,1.10426,1.14926,0.2197,1,0.45688,0.13376,1.23987,4.61845,2.12588,0.000218763,0.000218763,0.000218763
61,2266.19,0.65478,1.04501,1.13695,0.19872,1,0.4265,0.15643,1.39245,4.66986,2.33363,0.000213556,0.000213556,0.000213556
62,2296.7,0.66052,1.01761,1.10465,0.17143,0.83333,0.46016,0.14086,1.54612,4.65092,2.49157,0.000208349,0.000208349,0.000208349
63,2323.54,0.66894,1.15767,1.13643,0.27083,1,0.50521,0.1184,1.62118,4.6161,2.61144,0.000203141,0.000203141,0.000203141
64,2349.48,0.62906,1.02832,1.09276,0.27083,1,0.40792,0.15082,1.62292,4.67117,2.68855,0.000197934,0.000197934,0.000197934
65,2376.66,0.61675,1.01068,1.10001,0.0625,0.16667,0.10448,0.03134,1.63257,4.60185,2.74395,0.000192726,0.000192726,0.000192726
66,2402.73,0.62843,1.00801,1.11805,0.04545,0.16667,0.09883,0.01977,1.6499,4.55616,2.69314,0.000187519,0.000187519,0.000187519
67,2429.22,0.66643,1.09374,1.13825,0.11806,0.66667,0.26884,0.07429,1.70316,4.48872,2.61202,0.000182312,0.000182312,0.000182312
68,2454.91,0.67095,1.04564,1.12671,0.11806,0.66667,0.35176,0.12211,1.68386,4.51025,2.57502,0.000177104,0.000177104,0.000177104
69,2480.47,0.64579,1.02531,1.13675,0.20556,1,0.52625,0.20735,1.72481,4.48341,2.58709,0.000171897,0.000171897,0.000171897
70,2507.46,0.61192,1.02721,1.09333,0.20833,1,0.59696,0.22932,1.72786,4.40378,2.50909,0.000166689,0.000166689,0.000166689
71,2532.94,0.62777,0.96341,1.12503,0.20536,0.83333,0.40452,0.21517,1.64722,4.45618,2.4288,0.000161482,0.000161482,0.000161482
72,2559.08,0.64921,1.03435,1.13004,0.16667,0.16667,0.22278,0.06683,1.54873,4.41912,2.364,0.000156275,0.000156275,0.000156275
73,2585.12,0.64646,1.0656,1.14134,0.125,0.16667,0.20896,0.06269,1.52047,4.38743,2.3556,0.000151067,0.000151067,0.000151067
74,2612.09,0.61282,0.96831,1.09616,0.2,0.33333,0.26716,0.05343,1.52513,4.4012,2.35543,0.00014586,0.00014586,0.00014586
75,2638.73,0.59049,0.92731,1.06929,0.16667,0.33333,0.27805,0.06256,1.56253,4.40141,2.36558,0.000140652,0.000140652,0.000140652
76,2665.46,0.59184,0.93303,1.06641,0.16667,0.33333,0.30555,0.06958,1.61261,4.38218,2.38394,0.000135445,0.000135445,0.000135445
77,2691.48,0.60948,0.97694,1.10161,0.1875,0.5,0.415,0.1101,1.61568,4.4194,2.38926,0.000130238,0.000130238,0.000130238
78,2717.8,0.59478,0.94307,1.0648,0.21429,0.5,0.40321,0.10451,1.61671,4.43679,2.40487,0.00012503,0.00012503,0.00012503
79,2743.33,0.58884,0.97156,1.08736,0.16667,0.33333,0.36055,0.10816,1.63355,4.4595,2.43538,0.000119823,0.000119823,0.000119823
80,2769.69,0.63019,0.94806,1.13033,0.25,0.33333,0.37458,0.11237,1.60346,4.50493,2.44018,0.000114615,0.000114615,0.000114615
81,2795.37,0.57366,0.97555,1.09519,0.2,0.33333,0.31116,0.08003,1.55456,4.56702,2.43869,0.000109408,0.000109408,0.000109408
82,2821,0.56889,0.97048,1.06382,0.2,0.33333,0.31116,0.08003,1.54709,4.57749,2.3736,0.000104201,0.000104201,0.000104201
83,2847.4,0.55734,0.92065,1.07404,0.25,0.33333,0.29208,0.08341,1.53117,4.58565,2.36735,9.89932e-05,9.89932e-05,9.89932e-05
84,2873.05,0.51366,0.87844,1.016,0.25,0.33333,0.29208,0.10429,1.52328,4.59403,2.35683,9.37858e-05,9.37858e-05,9.37858e-05
85,2899.61,0.55325,0.90758,1.06356,0.33333,0.33333,0.27777,0.05558,1.52609,4.58692,2.35161,8.85784e-05,8.85784e-05,8.85784e-05
86,2925.73,0.5659,0.91063,1.05049,0.33333,0.33333,0.27777,0.05,1.50692,4.57118,2.33443,8.3371e-05,8.3371e-05,8.3371e-05
87,2951.65,0.54055,0.91641,1.06419,0.375,0.83333,0.52652,0.07487,1.50771,4.55611,2.31923,7.81636e-05,7.81636e-05,7.81636e-05
88,2978.22,0.56582,0.90919,1.064,0.29167,0.66667,0.41541,0.06642,1.477,4.61117,2.33531,7.29562e-05,7.29562e-05,7.29562e-05
89,3004.55,0.54556,0.90222,1.05643,0.04167,0.5,0.24875,0.07462,1.46639,4.63916,2.35239,6.77488e-05,6.77488e-05,6.77488e-05
90,3031.4,0.58312,0.95883,1.0869,0.03846,0.5,0.24875,0.0995,1.45212,4.62838,2.37488,6.25414e-05,6.25414e-05,6.25414e-05
91,3058.54,0.59456,1.08373,1.15651,0.03846,0.5,0.24875,0.04975,1.45459,4.70535,2.37118,5.7334e-05,5.7334e-05,5.7334e-05
92,3084.69,0.59307,1.03818,1.12008,0.03571,0.5,0.24875,0.02488,1.45427,4.73627,2.34518,5.21266e-05,5.21266e-05,5.21266e-05
93,3111.61,0.45175,0.88408,1.00474,0.03571,0.5,0.24875,0.02488,1.47321,4.71167,2.3305,4.69192e-05,4.69192e-05,4.69192e-05
94,3142.29,0.56108,1.03037,1.10727,0.02778,0.5,0.04975,0.0199,1.48475,4.70497,2.35725,4.17118e-05,4.17118e-05,4.17118e-05
95,3168.58,0.44168,0.91734,1.01371,0.02778,0.5,0.06219,0.02488,1.49699,4.71744,2.37324,3.65044e-05,3.65044e-05,3.65044e-05
96,3194.81,0.49017,0.92727,1.03235,0.02632,0.5,0.08292,0.03317,1.51992,4.73286,2.39433,3.1297e-05,3.1297e-05,3.1297e-05
97,3220.92,0.44518,0.91879,1.0197,0.025,0.5,0.0995,0.0398,1.57493,4.73341,2.45823,2.60896e-05,2.60896e-05,2.60896e-05
98,3248.31,0.45243,0.8915,1.01514,0.025,0.5,0.0995,0.02985,1.59303,4.75066,2.47985,2.08822e-05,2.08822e-05,2.08822e-05
99,3274.71,0.45612,0.97213,1.03726,0.02632,0.5,0.0995,0.0199,1.56651,4.84668,2.44419,1.56748e-05,1.56748e-05,1.56748e-05
100,3301.72,0.50134,0.97002,1.0471,0.02632,0.5,0.12437,0.02488,1.55916,4.91499,2.44458,1.04674e-05,1.04674e-05,1.04674e-05
